Date,City,Venue,Attendance,Capacity,Gross
07/03/2013,Bangor,Darling's Waterfront Pavilion,"13,977 "," 16,000","840,455"
07/05/2013,Saratoga Springs,Saratoga Performing Arts Center,"66,695 "," 77,867","2,324,855"
07/06/2013,Saratoga Springs,Saratoga Performing Arts Center,"66,695 "," 77,867","2,324,855"
07/07/2013,Saratoga Springs,Saratoga Performing Arts Center,"66,695 "," 77,867","2,324,855"
07/10/2013,Holmdel Township,PNC Bank Arts Center,"16,720 "," 16,907","847,395"
07/12/2013,Wantagh,Nikon at Jones Beach Theater,"14,252 "," 14,252","855,120"
07/13/2013,Columbia,Merriweather Post Pavilion,"35,103 "," 39,124","1,741,095"
07/14/2013,Columbia,Merriweather Post Pavilion,"35,103 "," 39,124","1,741,095"
07/16/2013,Alpharetta,Verizon Wireless Amphitheatre at Encore Park,"23,245 "," 26,000","1,266,060"
07/17/2013,Alpharetta,Verizon Wireless Amphitheatre at Encore Park,"23,245 "," 26,000","1,266,060"
07/19/2013,Chicago,Charter One Pavilion,"67,238 "," 78,002","3,200,445"
07/20/2013,Chicago,Charter One Pavilion,"67,238 "," 78,002","3,200,445"
07/21/2013,Chicago,Charter One Pavilion,"67,238 "," 78,002","3,200,445"
07/22/2013,Toronto,Molson Canadian Amphitheatre,"10,043 "," 16,360","526,835"
07/26/2013,George,The Gorge Amphitheatre,"31,762 "," 44,000","1,661,840"
07/27/2013,George,The Gorge Amphitheatre,"31,762 "," 44,000","1,661,840"
07/30/2013,Stateline,Harveys Outdoor Arena,"17,644 "," 17,644","1,058,935"
07/31/2013,Stateline,Harveys Outdoor Arena,"17,644 "," 17,644","1,058,935"
08/02/2013,San Francisco,Bill Graham Civic Auditorium,"26,288 "," 26,288","1,577,280"
08/03/2013,San Francisco,Bill Graham Civic Auditorium,"26,288 "," 26,288","1,577,280"
08/04/2013,San Francisco,Bill Graham Civic Auditorium,"26,288 "," 26,288","1,577,280"
08/05/2013,Los Angeles,Hollywood Bowl,"17,223 "," 17,223","962,850"
08/30/2013,Commerce City,Dick's Sporting Goods Park,"68,794 "," 72,856","3,788,980"
08/31/2013,Commerce City,Dick's Sporting Goods Park,"68,794 "," 72,856","3,788,980"
09/01/2013,Commerce City,Dick's Sporting Goods Park,"68,794 "," 72,856","3,788,980"
10/18/2013,Hampton,Hampton Coliseum,"40,035 "," 40,035","2,481,180"
10/19/2013,Hampton,Hampton Coliseum,"40,035 "," 40,035","2,481,180"
10/20/2013,Hampton,Hampton Coliseum,"40,035 "," 40,035","2,481,180"
10/22/2013,Rochester,The Blue Cross Arena at the War Memorial,"11,244 "," 14,000","730,860"
10/23/2013,Glens Falls,Glens Falls Civic Center,"7,220 "," 7,220","469,300"
10/25/2013,Worcester,DCU Center,"27,440 "," 27,440","1,724,930"
10/26/2013,Worcester,DCU Center,"27,440 "," 27,440","1,724,930"
10/27/2013,Hartford,XL Center,"12,275 "," 15,844","748,775"
10/29/2013,Reading,Santander Arena,"8,821 "," 8,821","573,365"
10/31/2013,Atlantic City,Boardwalk Hall,"42,219 "," 42,219","2,621,845"
11/01/2013,Atlantic City,Boardwalk Hall,"42,219 "," 42,219","2,621,845"
11/02/2013,Atlantic City,Boardwalk Hall,"42,219 "," 42,219","2,621,845"
12/28/2013,New York City,Madison Square Garden,"76,000 "," 76,000","4,820,030"
12/29/2013,New York City,Madison Square Garden,"76,000 "," 76,000","4,820,030"
12/30/2013,New York City,Madison Square Garden,"76,000 "," 76,000","4,820,030"
12/31/2013,New York City,Madison Square Garden,"76,000 "," 76,000","4,820,030"
