Date,City,Venue,Attendance,Capacity,Gross
06/07/2012,Worcester,DCU Center,"25,346 "," 28,666","1,520,760"
06/08/2012,Worcester,DCU Center,"25,346 "," 28,666","1,520,760"
06/10/2012,Manchester,Bonnaroo Music and Arts Festival,0,0,0
06/15/2012,Atlantic City,Bader Field,0,0,0
06/16/2012,Atlantic City,Bader Field,0,0,0
06/17/2012,Atlantic City,Bader Field,0,0,0
06/19/2012,Portsmouth,nTelos Wireless Pavilion,"13,780 "," 13,780","827,400"
06/20/2012,Portsmouth,nTelos Wireless Pavilion,"13,780 "," 13,780","827,400"
06/22/2012,Cincinnati,Riverbend Music Center,"11,075 "," 20,500","581,400"
06/23/2012,Burgettstown,First Niagara Pavilion,"12,925 "," 23,085","683,220"
06/24/2012,Cuyahoga Falls,Blossom Music Center,"11,220 "," 20,551","595,305"
06/28/2012,Noblesville,Klipsch Music Center,"25,759 "," 50,000","1,343,265"
06/29/2012,Noblesville,Klipsch Music Center,"25,759 "," 50,000","1,343,265"
06/30/2012,East Troy,Alpine Valley Music Theatre,"35,223 "," 71,200","1,811,415"
07/01/2012,East Troy,Alpine Valley Music Theatre,"35,223 "," 71,200","1,811,415"
07/03/2012,Wantagh,Nikon at Jones Beach Theater,"28,556 "," 28,556","1,713,360"
07/04/2012,Wantagh,Nikon at Jones Beach Theater,"28,556 "," 28,556","1,713,360"
07/06/2012,Saratoga Springs,Saratoga Performing Arts Center,"62,354 "," 75,000","3,040,815"
07/07/2012,Saratoga Springs,Saratoga Performing Arts Center,"62,354 "," 75,000","3,040,815"
07/08/2012,Saratoga Springs,Saratoga Performing Arts Center,"62,354 "," 75,000","3,040,815"
08/15/2012,Long Beach,Long Beach Arena,"13,121 "," 13,121","787,260"
08/17/2012,San Francisco,Bill Graham Civic Auditorium,"26,259 "," 26,259","1,575,540"
08/18/2012,San Francisco,Bill Graham Civic Auditorium,"26,259 "," 26,259","1,575,540"
08/19/2012,San Francisco,Bill Graham Civic Auditorium,"26,259 "," 26,259","1,575,540"
08/22/2012,Kansas City,Starlight Theatre,"7,414 "," 7,414","444,840"
08/24/2012,Pelham,Oak Mountain Amphitheatre,"10,345 "," 10,345","567,630"
08/25/2012,Atlanta,Aaron's Amphitheatre at Lakewood,"18,793 "," 18,793","950,565"
08/26/2012,Charlotte,Verizon Wireless Amphitheatre,"13,296 "," 18,812","711,915"
08/28/2012,St. Louis,Chaifetz Arena,"7,425 "," 9,978","445,500"
08/29/2012,Oklahoma City,Zoo Amphitheatre,"6,474 "," 9,500","388,505"
08/31/2012,Commerce City,Dick's Sporting Goods Park,"60,124 "," 73,533","3,355,628"
09/01/2012,Commerce City,Dick's Sporting Goods Park,"60,124 "," 73,533","3,355,628"
09/02/2012,Commerce City,Dick's Sporting Goods Park,"60,124 "," 73,533","3,355,628"
12/28/2012,New York City,Madison Square Garden,"73,569 "," 73,569","4,594,270"
12/29/2012,New York City,Madison Square Garden,"73,569 "," 73,569","4,594,270"
12/30/2012,New York City,Madison Square Garden,"73,569 "," 73,569","4,594,270"
12/31/2012,New York City,Madison Square Garden,"73,569 "," 73,569","4,594,270"
