Date,City,Venue,Attendance,Capacity,Gross
02/24/2022,"Cancún, Mexico",Moon Palace Resort,"2,423 "," 2,423","17,710,239"
02/25/2022,"Cancún, Mexico",Moon Palace Resort,"2,423 "," 2,423","17,710,239"
02/26/2022,"Cancún, Mexico",Moon Palace Resort,"2,423 "," 2,423","17,710,239"
02/27/2022,"Cancún, Mexico",Moon Palace Resort,"2,423 "," 2,423","17,710,239"
04/20/2022,New York City,Madison Square Garden,"76,470 "," 76,470","8,787,041"
04/21/2022,New York City,Madison Square Garden,"76,470 "," 76,470","8,787,041"
04/22/2022,New York City,Madison Square Garden,"76,470 "," 76,470","8,787,041"
04/23/2022,New York City,Madison Square Garden,"76,470 "," 76,470","8,787,041"
08/05/2022,Atlantic City,Atlantic City Beach,"48,577 "," 105,000","4,728,475"
08/06/2022,Atlantic City,Atlantic City Beach,"48,577 "," 105,000","4,728,475"
08/07/2022,Atlantic City,Atlantic City Beach,"48,577 "," 105,000","4,728,475"
09/01/2022,Commerce City,Dick's Sporting Goods Park,"93,478 "," 94,000","8,565,888"
09/02/2022,Commerce City,Dick's Sporting Goods Park,"93,478 "," 94,000","8,565,888"
09/03/2022,Commerce City,Dick's Sporting Goods Park,"93,478 "," 94,000","8,565,888"
09/04/2022,Commerce City,Dick's Sporting Goods Park,"93,478 "," 94,000","8,565,888"
