Date,City,Venue,Attendance,Capacity,Gross
01/01/2015,Miami,AmericanAirlines Arena,0,0,0
01/02/2015,Miami,AmericanAirlines Arena,0,0,0
01/03/2015,Miami,AmericanAirlines Arena,0,0,0
07/21/2015,Bend,Les Schwab Amphitheater,"15,999 "," 15,999","1,039,935"
07/22/2015,Bend,Les Schwab Amphitheater,"15,999 "," 15,999","1,039,935"
07/24/2015,Mountain View,Shoreline Amphitheatre,"15,173 "," 22,000","805,845"
07/25/2015,Inglewood,The Forum,"12,388 "," 14,550","715,185"
07/28/2015,Austin,Austin360 Amphitheater,"10,170 "," 13,164","601,710"
07/29/2015,Grand Prairie,Verizon Theatre,"6,455 "," 6,631","419,575"
07/31/2015,Atlanta,Aaron's Amphitheatre at Lakewood,"26,451 "," 37,736","1,449,755"
08/01/2015,Atlanta,Aaron's Amphitheatre at Lakewood,"26,451 "," 37,736","1,449,755"
08/02/2015,Tuscaloosa,Tuscaloosa Amphitheater,"7,786 "," 7,786","436,016"
08/04/2015,Nashville,Ascend Amphitheater,"6,778 "," 6,778","352,670"
08/05/2015,Kansas City,Starlight Theatre,"6,847 "," 7,538","445,055"
08/07/2015,Cuyahoga Falls,Blossom Music Center,"14,062 "," 20,451","745,752"
08/08/2015,East Troy,Alpine Valley Music Theatre,"34,716 "," 71,010","1,859,160"
08/09/2015,East Troy,Alpine Valley Music Theatre,"34,716 "," 71,010","1,859,160"
08/11/2015,Philadelphia,Mann Center for the Performing Arts,"24,909 "," 24,909","1,371,635"
08/12/2015,Philadelphia,Mann Center for the Performing Arts,"24,909 "," 24,909","1,371,635"
08/14/2015,Raleigh,Walnut Creek Amphitheatre,"12,175 "," 19,980","669,755"
08/15/2015,Columbia,Merriweather Post Pavilion,"36,760 "," 38,000","1,877,760"
08/16/2015,Columbia,Merriweather Post Pavilion,"36,760 "," 38,000","1,877,760"
08/21/2015,Watkins Glen,Watkins Glen International,0,0,0
08/22/2015,Watkins Glen,Watkins Glen International,0,0,0
08/23/2015,Watkins Glen,Watkins Glen International,0,0,0
09/04/2015,Commerce City,Dick's Sporting Goods Park,"69,907 "," 75,156","3,851,213"
09/05/2015,Commerce City,Dick's Sporting Goods Park,"69,907 "," 75,156","3,851,213"
09/06/2015,Commerce City,Dick's Sporting Goods Park,"69,907 "," 75,156","3,851,213"
12/30/2015,New York City,Madison Square Garden,0,0,0
12/31/2015,New York City,Madison Square Garden,0,0,0
