Date,City,Venue,Attendance,Capacity,Gross
07/21/1997,Virginia Beach,GTE Virginia Beach Amphitheatre,"20,074 "," 20,074","486,775"
08/02/1997,George,The Gorge Amphitheatre,"37,871 "," 40,000","1,023,129"
08/03/1997,George,The Gorge Amphitheatre,"37,871 "," 40,000","1,023,129"
08/09/1997,East Troy,Alpine Valley Music Theatre,"34,642 "," 34,642","866,202"
08/10/1997,Noblesville,Deer Creek Music Center,"41,782 "," 41,782","1,044,762"
08/11/1997,Noblesville,Deer Creek Music Center,"41,782 "," 41,782","1,044,762"
08/16/1997,Limestone,Loring Air Force Base,"123,176 "," 123,176","4,337,184"
08/17/1997,Limestone,Loring Air Force Base,"123,176 "," 123,176","4,337,184"
12/29/1997,New York City,Madison Square Garden,"56,704 "," 56,704","1,583,886"
12/30/1997,New York City,Madison Square Garden,"56,704 "," 56,704","1,583,886"
12/31/1997,New York City,Madison Square Garden,"56,704 "," 56,704","1,583,886"
