Date,City,Venue,Attendance,Capacity,Gross
07/03/1999,Atlanta,Lakewood Amphitheatre,"37,822 "," 37,822","1,057,431"
07/04/1999,Atlanta,Lakewood Amphitheatre,"37,822 "," 37,822","1,057,431"
07/17/1999,Volney,Oswego County Airport,"101,172 "," 101,172","3,839,730"
07/18/1999,Volney,Oswego County Airport,"101,172 "," 101,172","3,839,730"
07/25/1999,Noblesville,Deer Creek Music Center,"41,553 "," 41,553","1,101,155"
07/26/1999,Noblesville,Deer Creek Music Center,"41,553 "," 41,553","1,101,155"
09/10/1999,George,The Gorge Amphitheatre,"29,383 "," 40,000","849,713"
09/11/1999,George,The Gorge Amphitheatre,"29,383 "," 40,000","849,713"
10/03/1999,Rosemont,Allstate Arena,"17,963 "," 17,963","495,065"
10/07/1999,Uniondale,Nassau Veterans Memorial Coliseum,"30,977 "," 36,016","772,341"
10/08/1999,Uniondale,Nassau Veterans Memorial Coliseum,"30,977 "," 36,016","772,341"
10/09/1999,Albany,Pepsi Arena,"33,842 "," 33,842","807,730"
10/10/1999,Albany,Pepsi Arena,"33,842 "," 33,842","807,730"
12/07/1999,Portland,Cumberland County Civic Center,"17,437 "," 17,437","462,081"
12/08/1999,Portland,Cumberland County Civic Center,"17,437 "," 17,437","462,081"
12/10/1999,Philadelphia,First Union Spectrum,"36,843 "," 36,843","976,412"
12/11/1999,Philadelphia,First Union Spectrum,"36,843 "," 36,843","976,412"
12/17/1999,Hampton,Hampton Coliseum,"27,600 "," 27,600","676,325"
12/18/1999,Hampton,Hampton Coliseum,"27,600 "," 27,600","676,325"
12/30/1999,Clewiston,Big Cypress Indian Reservation,"75,000 "," 75,000","11,639,550"
12/31/1999,Clewiston,Big Cypress Indian Reservation,"75,000 "," 75,000","11,639,550"
