Date,City,Venue,Attendance,Capacity,Gross
08/04/1996,Morrison,Red Rocks Amphitheatre,"36,962 "," 36,962","924,050"
08/05/1996,Morrison,Red Rocks Amphitheatre,"36,962 "," 36,962","924,050"
08/06/1996,Morrison,Red Rocks Amphitheatre,"36,962 "," 36,962","924,050"
08/07/1996,Morrison,Red Rocks Amphitheatre,"36,962 "," 36,962","924,050"
08/12/1996,Noblesville,Deer Creek Music Center,"42,158 "," 42,158","851,865"
08/13/1996,Noblesville,Deer Creek Music Center,"42,158 "," 42,158","851,865"
08/14/1996,Hershey,Hersheypark Stadium,"25,100 "," 25,100","619,100"
08/16/1996,Plattsburgh,Plattsburgh Air Force Base,"135,267 "," 135,267","3,310,245"
08/17/1996,Plattsburgh,Plattsburgh Air Force Base,"135,267 "," 135,267","3,310,245"
10/21/1996,New York City,Madison Square Garden,"34,204 "," 34,204","857,744"
10/22/1996,New York City,Madison Square Garden,"34,204 "," 34,204","857,744"
10/26/1996,Charlotte,Charlotte Coliseum,"17,580 "," 17,580","391,996"
11/09/1996,Auburn Hills,The Palace of Auburn Hills,"18,359 "," 18,359","414,770"
11/15/1996,St. Louis,Kiel Center,"14,492 "," 18,000","286,374"
12/28/1996,Philadelphia,CoreStates Spectrum,"36,648 "," 36,648","917,604"
12/29/1996,Philadelphia,CoreStates Spectrum,"36,648 "," 36,648","917,604"
12/30/1996,Boston,FleetCenter,"36,968 "," 36,968","1,016,860"
12/31/1996,Boston,FleetCenter,"36,968 "," 36,968","1,016,860"
