Date,City,Venue,Attendance,Capacity,Gross
07/17/2018,Stateline,Lake Tahoe Outdoor Arena,"17,150 "," 17,150","1,269,027"
07/18/2018,Stateline,Lake Tahoe Outdoor Arena,"17,150 "," 17,150","1,269,027"
07/20/2018,George,The Gorge Amphitheatre,0,0,0
07/21/2018,George,The Gorge Amphitheatre,0,0,0
07/22/2018,George,The Gorge Amphitheatre,0,0,0
07/24/2018,San Francisco,Bill Graham Civic Auditorium,"17,507 "," 17,507","1,399,840"
07/25/2018,San Francisco,Bill Graham Civic Auditorium,"17,507 "," 17,507","1,399,840"
07/27/2018,Inglewood,The Forum,"23,482 "," 23,482","1,642,872"
07/28/2018,Inglewood,The Forum,"23,482 "," 23,482","1,642,872"
07/31/2018,Austin,Austin360 Amphitheater,0,0,0
08/03/2018,Alpharetta,Verizon Wireless Amphitheatre at Encore Park,"38,922 "," 38,922","2,081,865"
08/04/2018,Alpharetta,Verizon Wireless Amphitheatre at Encore Park,"38,922 "," 38,922","2,081,865"
08/05/2018,Alpharetta,Verizon Wireless Amphitheatre at Encore Park,"38,922 "," 38,922","2,081,865"
08/07/2018,Camden,BB&T Pavilion,"35,064 "," 39,941","1,711,072"
08/08/2018,Camden,BB&T Pavilion,"35,064 "," 39,941","1,711,072"
08/10/2018,Raleigh,Coastal Credit Union Music Park,0,0,0
08/11/2018,Columbia,Merriweather Post Pavilion,0,0,0
08/12/2018,Columbia,Merriweather Post Pavilion,0,0,0
08/17/2018,Watkins Glen,Watkins Glen International,0,0,0
08/18/2018,Watkins Glen,Watkins Glen International,0,0,0
08/19/2018,Watkins Glen,Watkins Glen International,0,0,0
08/31/2018,Commerce City,Dick's Sporting Goods Park,0,0,0
09/01/2018,Commerce City,Dick's Sporting Goods Park,0,0,0
09/02/2018,Commerce City,Dick's Sporting Goods Park,0,0,0
10/16/2018,Albany,Times Union Center,"27,170 "," 27,170","1,917,380"
10/17/2018,Albany,Times Union Center,"27,170 "," 27,170","1,917,380"
10/19/2018,Hampton,Hampton Coliseum,0,0,0
10/20/2018,Hampton,Hampton Coliseum,0,0,0
10/21/2018,Hampton,Hampton Coliseum,0,0,0
10/23/2018,Nashville,Ascend Amphitheater,0,0,0
10/24/2018,Nashville,Ascend Amphitheater,0,0,0
10/26/2018,Rosemont,Allstate Arena,0,0,0
10/27/2018,Rosemont,Allstate Arena,0,0,0
10/28/2018,Rosemont,Allstate Arena,0,0,0
10/31/2018,Las Vegas,MGM Grand Garden Arena,"58,840 "," 62,745","4,506,580"
11/01/2018,Las Vegas,MGM Grand Garden Arena,"58,840 "," 62,745","4,506,580"
11/02/2018,Las Vegas,MGM Grand Garden Arena,"58,840 "," 62,745","4,506,580"
11/03/2018,Las Vegas,MGM Grand Garden Arena,"58,840 "," 62,745","4,506,580"
12/28/2018,New York City,Madison Square Garden,"76,085 "," 76,085","6,332,513"
12/29/2018,New York City,Madison Square Garden,"76,085 "," 76,085","6,332,513"
12/30/2018,New York City,Madison Square Garden,"76,085 "," 76,085","6,332,513"
12/31/2018,New York City,Madison Square Garden,"76,085 "," 76,085","6,332,513"
