Date,City,Venue,Attendance,Capacity,Gross
04/02/1998,Uniondale,Nassau Veterans Memorial Coliseum,"34,348 "," 34,348","824,328"
04/03/1998,Uniondale,Nassau Veterans Memorial Coliseum,"34,348 "," 34,348","824,328"
07/16/1998,George,The Gorge Amphitheatre,"31,544 "," 40,000","854,900"
07/17/1998,George,The Gorge Amphitheatre,"31,544 "," 40,000","854,900"
08/02/1998,Noblesville,Deer Creek Music Center,"42,158 "," 42,158","1,092,811"
08/03/1998,Noblesville,Deer Creek Music Center,"42,158 "," 42,158","1,092,811"
08/15/1998,Limestone,Loring Air Force Base,"105,836 "," 105,836","4,012,715"
08/16/1998,Limestone,Loring Air Force Base,"105,836 "," 105,836","4,012,715"
10/30/1998,Las Vegas,Thomas & Mack Center,"35,635 "," 35,635","935,485"
10/31/1998,Las Vegas,Thomas & Mack Center,"35,635 "," 35,635","935,485"
11/04/1998,Denver,McNichols Sports Arena,"13,826 "," 13,826","327,916"
11/06/1998,Madison,Kohl Center,"16,906 "," 16,906","363,889"
11/07/1998,Chicago,UIC Pavilion,"30,161 "," 30,161","754,723"
11/08/1998,Chicago,UIC Pavilion,"30,161 "," 30,161","754,723"
11/09/1998,Chicago,UIC Pavilion,"30,161 "," 30,161","754,723"
11/20/1998,Hampton,Hampton Coliseum,"27,335 "," 27,335","642,658"
11/21/1998,Hampton,Hampton Coliseum,"27,335 "," 27,335","642,658"
12/28/1998,New York City,Madison Square Garden,"73,824 "," 73,824","2,047,576"
12/29/1998,New York City,Madison Square Garden,"73,824 "," 73,824","2,047,576"
12/30/1998,New York City,Madison Square Garden,"73,824 "," 73,824","2,047,576"
12/31/1998,New York City,Madison Square Garden,"73,824 "," 73,824","2,047,576"
