Date,City,Venue,Attendance,Capacity,Gross
03/06/2009,Hampton,Hampton Coliseum,0,0,0
03/07/2009,Hampton,Hampton Coliseum,0,0,0
03/08/2009,Hampton,Hampton Coliseum,0,0,0
05/31/2009,Boston,Fenway Park,"34,906 "," 34,906","1,710,423"
06/02/2009,Wantagh,Nikon at Jones Beach Theater,0,0,0
06/04/2009,Wantagh,Nikon at Jones Beach Theater,0,0,0
06/05/2009,Wantagh,Nikon at Jones Beach Theater,0,0,0
06/06/2009,Mansfield,Comcast Center,0,0,0
06/07/2009,Camden,Susquehanna Bank Center,"24,958 "," 24,958","1,232,116"
06/09/2009,Asheville,Asheville Civic Center,0,0,0
06/10/2009,Knoxville,Thompson–Boling Arena,0,0,0
06/12/2009,Manchester,Bonnaroo Music and Arts Festival,0,0,0
06/14/2009,Manchester,Bonnaroo Music and Arts Festival,0,0,0
06/16/2009,St. Louis,Fox Theatre,0,0,0
06/18/2009,Burgettstown,Post-Gazette Pavilion,"23,064 "," 23,070","1,137,263"
06/19/2009,Noblesville,Verizon Wireless Music Center,"24,502 "," 24,502","1,089,480"
06/20/2009,East Troy,Alpine Valley Music Theatre,"69,731 "," 69,772","3,431,192"
06/21/2009,East Troy,Alpine Valley Music Theatre,"69,731 "," 69,772","3,431,192"
07/30/2009,Morrison,Red Rocks Amphitheatre,0,0,0
07/31/2009,Morrison,Red Rocks Amphitheatre,0,0,0
08/01/2009,Morrison,Red Rocks Amphitheatre,0,0,0
08/02/2009,Morrison,Red Rocks Amphitheatre,0,0,0
08/05/2009,Mountain View,Shoreline Amphitheatre,"22,021 "," 22,021","945,183"
08/07/2009,George,The Gorge Amphitheatre,"43,437 "," 44,000","2,147,756"
08/08/2009,George,The Gorge Amphitheatre,"43,437 "," 44,000","2,147,756"
08/11/2009,Bridgeview,Toyota Park,"30,303 "," 30,303","1,409,090"
08/13/2009,Darien Center,Darien Lake Performing Arts Center,"21,773 "," 21,773","1,072,764"
08/14/2009,Hartford,Comcast Theatre,"24,087 "," 24,087","985,810"
08/15/2009,Columbia,Merriweather Post Pavilion,"19,000 "," 19,000","935,798"
08/16/2009,Saratoga Springs,Saratoga Performing Arts Center,"25,234 "," 25,234","1,246,658"
10/30/2009,Indio,Empire Polo Club,0,0,0
10/31/2009,Indio,Empire Polo Club,0,0,0
11/01/2009,Indio,Empire Polo Club,0,0,0
11/18/2009,Detroit,Cobo Arena,"10,519 "," 11,561","523,850"
11/20/2009,Cincinnati,U.S. Bank Arena,0,0,0
11/21/2009,Cincinnati,U.S. Bank Arena,0,0,0
11/22/2009,Syracuse,War Memorial at Oncenter,0,0,0
11/24/2009,Philadelphia,Wachovia Center,0,0,0
11/25/2009,Philadelphia,Wachovia Center,0,0,0
11/27/2009,Albany,Times Union Center,"30,883 "," 30,883","1,481,952"
11/28/2009,Albany,Times Union Center,"30,883 "," 30,883","1,481,952"
11/29/2009,Portland,Cumberland County Civic Center,0,0,0
12/02/2009,New York City,Madison Square Garden,"55,700 "," 55,700","2,532,237"
12/03/2009,New York City,Madison Square Garden,"55,700 "," 55,700","2,532,237"
12/04/2009,New York City,Madison Square Garden,"55,700 "," 55,700","2,532,237"
12/05/2009,Charlottesville,John Paul Jones Arena,"13,963 "," 13,974","669,408"
12/28/2009,Miami,American Airlines Arena,0,0,0
12/29/2009,Miami,American Airlines Arena,0,0,0
12/30/2009,Miami,American Airlines Arena,0,0,0
12/31/2009,Miami,American Airlines Arena,0,0,0
