Date,City,Venue,Attendance,Capacity,Gross
02/21/2019,Playa del Carmen,Barceló Maya Beach,0,0,0
02/22/2019,Playa del Carmen,Barceló Maya Beach,0,0,0
02/23/2019,Playa del Carmen,Barceló Maya Beach,0,0,0
06/11/2019,St. Louis,Chaifetz Arena,"17,464 "," 20,601","1,215,751"
06/12/2019,St. Louis,Chaifetz Arena,"17,464 "," 20,601","1,215,751"
06/14/2019,Manchester,Bonnaroo Music and Arts Festival,0,0,0
06/16/2019,Manchester,Bonnaroo Music and Arts Festival,0,0,0
06/18/2019,Toronto,Budweiser Stage,0,0,0
06/19/2019,Cuyahoga Falls,Blossom Music Center,0,0,0
06/21/2019,Charlotte,PNC Music Pavilion,0,0,0
06/22/2019,Columbia,Merriweather Post Pavilion,0,0,0
06/23/2019,Columbia,Merriweather Post Pavilion,0,0,0
06/25/2019,Bangor,Darling's Waterfront Pavilion,"29,708 "," 29,708","1,988,488"
06/26/2019,Bangor,Darling's Waterfront Pavilion,"29,708 "," 29,708","1,988,488"
06/28/2019,Camden,BB&T Pavilion,"52,383 "," 63,036","3,251,326"
06/29/2019,Camden,BB&T Pavilion,"52,383 "," 63,036","3,251,326"
06/30/2019,Camden,BB&T Pavilion,"52,383 "," 63,036","3,251,326"
07/02/2019,Saratoga Springs,Saratoga Performing Arts Center,"35,878 "," 50,165","2,037,814"
07/03/2019,Saratoga Springs,Saratoga Performing Arts Center,"35,878 "," 50,165","2,037,814"
07/05/2019,Boston,Fenway Park,"65,459 "," 69,940","4,891,124"
07/06/2019,Boston,Fenway Park,"65,459 "," 69,940","4,891,124"
07/09/2019,Uncasville,Mohegan Sun Arena,"18,620 "," 18,620","1,452,360"
07/10/2019,Uncasville,Mohegan Sun Arena,"18,620 "," 18,620","1,452,360"
07/12/2019,East Troy,Alpine Valley Music Theatre,"54,183 "," 107,266","3,322,634"
07/13/2019,East Troy,Alpine Valley Music Theatre,"54,183 "," 107,266","3,322,634"
07/14/2019,East Troy,Alpine Valley Music Theatre,"54,183 "," 107,266","3,322,634"
08/30/2019,Commerce City,Dick's Sporting Goods Park,"70,574 "," 70,574","5,638,350"
08/31/2019,Commerce City,Dick's Sporting Goods Park,"70,574 "," 70,574","5,638,350"
09/01/2019,Commerce City,Dick's Sporting Goods Park,"70,574 "," 70,574","5,638,350"
11/29/2019,Providence,Dunkin' Donuts Center,0,0,0
11/30/2019,Providence,Dunkin' Donuts Center,0,0,0
12/01/2019,Uniondale,Nassau Coliseum,"15,451 "," 15,503","1,492,481"
12/04/2019,Pittsburgh,Petersen Events Center,0,0,0
12/06/2019,North Charleston,North Charleston Coliseum,0,0,0
12/07/2019,North Charleston,North Charleston Coliseum,0,0,0
12/08/2019,North Charleston,North Charleston Coliseum,0,0,0
12/28/2019,New York City,Madison Square Garden,"76,079 "," 76,079","6,712,920"
12/29/2019,New York City,Madison Square Garden,"76,079 "," 76,079","6,712,920"
12/30/2019,New York City,Madison Square Garden,"76,079 "," 76,079","6,712,920"
12/31/2019,New York City,Madison Square Garden,"76,079 "," 76,079","6,712,920"
