Date,City,Venue,Attendance,Capacity,Gross
01/01/2016,New York City,Madison Square Garden,0,0,0
01/02/2016,New York City,Madison Square Garden,0,0,0
01/15/2016,Playa del Carmen,Barceló Maya Beach,0,0,0
01/16/2016,Playa del Carmen,Barceló Maya Beach,0,0,0
01/17/2016,Playa del Carmen,Barceló Maya Beach,0,0,0
06/22/2016,Saint Paul,Xcel Energy Center,0,0,0
06/24/2016,Chicago,Wrigley Field,"83,588 "," 84,356","4,761,063"
06/25/2016,Chicago,Wrigley Field,"83,588 "," 84,356","4,761,063"
06/26/2016,Noblesville,Klipsch Music Center,"17,865 "," 24,369","738,703"
06/28/2016,Philadelphia,Mann Center for the Performing Arts,"24,852 "," 25,160","1,374,580"
06/29/2016,Philadelphia,Mann Center for the Performing Arts,"24,852 "," 25,160","1,374,580"
07/01/2016,Saratoga Springs,Saratoga Performing Arts Center,"60,838 "," 75,531","2,496,548"
07/02/2016,Saratoga Springs,Saratoga Performing Arts Center,"60,838 "," 75,531","2,496,548"
07/03/2016,Saratoga Springs,Saratoga Performing Arts Center,"60,838 "," 75,531","2,496,548"
07/06/2016,Portland,Cross Insurance Arena,"8,004 "," 8,026","488,244"
07/08/2016,Mansfield,Xfinity Center,"19,824 "," 19,897","983,352"
07/09/2016,Hartford,Xfinity Theatre,"21,877 "," 24,759","811,652"
07/10/2016,Syracuse,Lakeview Amphitheater,"16,550 "," 19,870","707,290"
07/15/2016,George,The Gorge Amphitheatre,"43,002 "," 44,000","1,908,669"
07/16/2016,George,The Gorge Amphitheatre,"43,002 "," 44,000","1,908,669"
07/18/2016,San Francisco,Bill Graham Civic Auditorium,"26,265 "," 26,265","1,707,355"
07/19/2016,San Francisco,Bill Graham Civic Auditorium,"26,265 "," 26,265","1,707,355"
07/20/2016,San Francisco,Bill Graham Civic Auditorium,"26,265 "," 26,265","1,707,355"
07/22/2016,Inglewood,The Forum,"12,138 "," 14,577","704,040"
07/23/2016,Chula Vista,Sleep Train Amphitheatre,"9,789 "," 19,291","440,030"
09/02/2016,Commerce City,Dick's Sporting Goods Park,"69,936 "," 81,000","4,031,536"
09/03/2016,Commerce City,Dick's Sporting Goods Park,"69,936 "," 81,000","4,031,536"
09/04/2016,Commerce City,Dick's Sporting Goods Park,"69,936 "," 81,000","4,031,536"
10/14/2016,North Charleston,North Charleston Coliseum,"22,546 "," 23,272","1,465,490"
10/15/2016,North Charleston,North Charleston Coliseum,"22,546 "," 23,272","1,465,490"
10/16/2016,Jacksonville,Jacksonville Veterans Memorial Arena,"9,329 "," 12,570","593,885"
10/18/2016,Nashville,Ascend Amphitheater,"13,714 "," 13,714","711,550"
10/19/2016,Nashville,Ascend Amphitheater,"13,714 "," 13,714","711,550"
10/21/2016,Alpharetta,Verizon Wireless Amphitheatre at Encore Park,"25,965 "," 26,000","1,469,785"
10/22/2016,Alpharetta,Verizon Wireless Amphitheatre at Encore Park,"25,965 "," 26,000","1,469,785"
10/24/2016,Grand Prairie,Verizon Theatre at Grand Prairie,"9,711 "," 13,362","631,215"
10/25/2016,Grand Prairie,Verizon Theatre at Grand Prairie,"9,711 "," 13,362","631,215"
10/28/2016,Las Vegas,MGM Grand Garden Arena,"63,222 "," 63,222","4,076,085"
10/29/2016,Las Vegas,MGM Grand Garden Arena,"63,222 "," 63,222","4,076,085"
10/30/2016,Las Vegas,MGM Grand Garden Arena,"63,222 "," 63,222","4,076,085"
10/31/2016,Las Vegas,MGM Grand Garden Arena,"63,222 "," 63,222","4,076,085"
12/28/2016,New York City,Madison Square Garden,"76,566 "," 76,566","5,510,582"
12/29/2016,New York City,Madison Square Garden,"76,566 "," 76,566","5,510,582"
12/30/2016,New York City,Madison Square Garden,"76,566 "," 76,566","5,510,582"
12/31/2016,New York City,Madison Square Garden,"76,566 "," 76,566","5,510,582"
