Date,City,Venue,Attendance,Capacity,Gross
06/23/1995,Stanhope,Waterloo Village,"16,643 "," 16,643","377,400"
06/28/1995,Wantagh,Jones Beach Amphitheater,"22,110 "," 22,110","487,475"
06/29/1995,Wantagh,Jones Beach Amphitheater,"22,110 "," 22,110","487,475"
10/31/1995,Rosemont,Rosemont Horizon,"18,311 "," 18,311","411,998"
11/09/1995,Atlanta,Fox Theatre,"13,547 "," 13,547","304,808"
11/10/1995,Atlanta,Fox Theatre,"13,547 "," 13,547","304,808"
11/11/1995,Atlanta,Fox Theatre,"13,547 "," 13,547","304,808"
11/24/1995,Pittsburgh,Civic Arena,"10,669 "," 18,742","213,380"
11/25/1995,Hampton,Hampton Coliseum,"12,903 "," 12,903","260,976"
12/04/1995,Amherst,William D. Mullins Memorial Center,"21,018 "," 21,018","420,360"
12/05/1995,Amherst,William D. Mullins Memorial Center,"21,018 "," 21,018","420,360"
12/15/1995,Philadelphia,CoreStates Spectrum,"18,220 "," 18,220","412,200"
12/28/1995,Worcester,Centrum in Worcester,"28,924 "," 28,924","679,714"
12/29/1995,Worcester,Centrum in Worcester,"28,924 "," 28,924","679,714"
12/30/1995,New York City,Madison Square Garden,"36,504 "," 36,504","1,004,275"
12/31/1995,New York City,Madison Square Garden,"36,504 "," 36,504","1,004,275"
