Date,City,Venue,Attendance,Capacity,Gross
06/03/2011,Clarkston,DTE Energy Music Theatre,"11,233 "," 15,274","557,283"
08/09/2011,Stateline,Harveys Outdoor Arena,"17,221 "," 17,221","861,050"
08/10/2011,Stateline,Harveys Outdoor Arena,"17,221 "," 17,221","861,050"
08/15/2011,Chicago,UIC Pavilion,"27,476 "," 27,476","1,593,608"
08/16/2011,Chicago,UIC Pavilion,"27,476 "," 27,476","1,593,608"
08/17/2011,Chicago,UIC Pavilion,"27,476 "," 27,476","1,593,608"
12/28/2011,New York City,Madison Square Garden,"75,707 "," 75,707","4,387,679"
12/29/2011,New York City,Madison Square Garden,"75,707 "," 75,707","4,387,679"
12/30/2011,New York City,Madison Square Garden,"75,707 "," 75,707","4,387,679"
12/31/2011,New York City,Madison Square Garden,"75,707 "," 75,707","4,387,679"
